"","species","bill_length_mm","bill_depth_mm","body_mass_g","flipper_length_mm"
"1","Adelie",39.1,18.7,3750,181
"2","Adelie",39.5,17.4,3800,186
"3","Adelie",40.3,18,3250,195
"4","Adelie",NA,NA,NA,NA
"5","Adelie",36.7,19.3,3450,193
"6","Adelie",39.3,20.6,3650,190
"7","Adelie",38.9,17.8,3625,181
"8","Adelie",39.2,19.6,4675,195
"9","Adelie",34.1,18.1,3475,193
"10","Adelie",42,20.2,4250,190
"11","Adelie",37.8,17.1,3300,186
"12","Adelie",37.8,17.3,3700,180
"13","Adelie",41.1,17.6,3200,182
"14","Adelie",38.6,21.2,3800,191
"15","Adelie",34.6,21.1,4400,198
"16","Adelie",36.6,17.8,3700,185
"17","Adelie",38.7,19,3450,195
"18","Adelie",42.5,20.7,4500,197
"19","Adelie",34.4,18.4,3325,184
"20","Adelie",46,21.5,4200,194
"21","Adelie",37.8,18.3,3400,174
"22","Adelie",37.7,18.7,3600,180
"23","Adelie",35.9,19.2,3800,189
"24","Adelie",38.2,18.1,3950,185
"25","Adelie",38.8,17.2,3800,180
"26","Adelie",35.3,18.9,3800,187
"27","Adelie",40.6,18.6,3550,183
"28","Adelie",40.5,17.9,3200,187
"29","Adelie",37.9,18.6,3150,172
"30","Adelie",40.5,18.9,3950,180
"31","Adelie",39.5,16.7,3250,178
"32","Adelie",37.2,18.1,3900,178
"33","Adelie",39.5,17.8,3300,188
"34","Adelie",40.9,18.9,3900,184
"35","Adelie",36.4,17,3325,195
"36","Adelie",39.2,21.1,4150,196
"37","Adelie",38.8,20,3950,190
"38","Adelie",42.2,18.5,3550,180
"39","Adelie",37.6,19.3,3300,181
"40","Adelie",39.8,19.1,4650,184
"41","Adelie",36.5,18,3150,182
"42","Adelie",40.8,18.4,3900,195
"43","Adelie",36,18.5,3100,186
"44","Adelie",44.1,19.7,4400,196
"45","Adelie",37,16.9,3000,185
"46","Adelie",39.6,18.8,4600,190
"47","Adelie",41.1,19,3425,182
"48","Adelie",37.5,18.9,2975,179
"49","Adelie",36,17.9,3450,190
"50","Adelie",42.3,21.2,4150,191
"51","Adelie",39.6,17.7,3500,186
"52","Adelie",40.1,18.9,4300,188
"53","Adelie",35,17.9,3450,190
"54","Adelie",42,19.5,4050,200
"55","Adelie",34.5,18.1,2900,187
"56","Adelie",41.4,18.6,3700,191
"57","Adelie",39,17.5,3550,186
"58","Adelie",40.6,18.8,3800,193
"59","Adelie",36.5,16.6,2850,181
"60","Adelie",37.6,19.1,3750,194
"61","Adelie",35.7,16.9,3150,185
"62","Adelie",41.3,21.1,4400,195
"63","Adelie",37.6,17,3600,185
"64","Adelie",41.1,18.2,4050,192
"65","Adelie",36.4,17.1,2850,184
"66","Adelie",41.6,18,3950,192
"67","Adelie",35.5,16.2,3350,195
"68","Adelie",41.1,19.1,4100,188
"69","Adelie",35.9,16.6,3050,190
"70","Adelie",41.8,19.4,4450,198
"71","Adelie",33.5,19,3600,190
"72","Adelie",39.7,18.4,3900,190
"73","Adelie",39.6,17.2,3550,196
"74","Adelie",45.8,18.9,4150,197
"75","Adelie",35.5,17.5,3700,190
"76","Adelie",42.8,18.5,4250,195
"77","Adelie",40.9,16.8,3700,191
"78","Adelie",37.2,19.4,3900,184
"79","Adelie",36.2,16.1,3550,187
"80","Adelie",42.1,19.1,4000,195
"81","Adelie",34.6,17.2,3200,189
"82","Adelie",42.9,17.6,4700,196
"83","Adelie",36.7,18.8,3800,187
"84","Adelie",35.1,19.4,4200,193
"85","Adelie",37.3,17.8,3350,191
"86","Adelie",41.3,20.3,3550,194
"87","Adelie",36.3,19.5,3800,190
"88","Adelie",36.9,18.6,3500,189
"89","Adelie",38.3,19.2,3950,189
"90","Adelie",38.9,18.8,3600,190
"91","Adelie",35.7,18,3550,202
"92","Adelie",41.1,18.1,4300,205
"93","Adelie",34,17.1,3400,185
"94","Adelie",39.6,18.1,4450,186
"95","Adelie",36.2,17.3,3300,187
"96","Adelie",40.8,18.9,4300,208
"97","Adelie",38.1,18.6,3700,190
"98","Adelie",40.3,18.5,4350,196
"99","Adelie",33.1,16.1,2900,178
"100","Adelie",43.2,18.5,4100,192
"101","Adelie",35,17.9,3725,192
"102","Adelie",41,20,4725,203
"103","Adelie",37.7,16,3075,183
"104","Adelie",37.8,20,4250,190
"105","Adelie",37.9,18.6,2925,193
"106","Adelie",39.7,18.9,3550,184
"107","Adelie",38.6,17.2,3750,199
"108","Adelie",38.2,20,3900,190
"109","Adelie",38.1,17,3175,181
"110","Adelie",43.2,19,4775,197
"111","Adelie",38.1,16.5,3825,198
"112","Adelie",45.6,20.3,4600,191
"113","Adelie",39.7,17.7,3200,193
"114","Adelie",42.2,19.5,4275,197
"115","Adelie",39.6,20.7,3900,191
"116","Adelie",42.7,18.3,4075,196
"117","Adelie",38.6,17,2900,188
"118","Adelie",37.3,20.5,3775,199
"119","Adelie",35.7,17,3350,189
"120","Adelie",41.1,18.6,3325,189
"121","Adelie",36.2,17.2,3150,187
"122","Adelie",37.7,19.8,3500,198
"123","Adelie",40.2,17,3450,176
"124","Adelie",41.4,18.5,3875,202
"125","Adelie",35.2,15.9,3050,186
"126","Adelie",40.6,19,4000,199
"127","Adelie",38.8,17.6,3275,191
"128","Adelie",41.5,18.3,4300,195
"129","Adelie",39,17.1,3050,191
"130","Adelie",44.1,18,4000,210
"131","Adelie",38.5,17.9,3325,190
"132","Adelie",43.1,19.2,3500,197
"133","Adelie",36.8,18.5,3500,193
"134","Adelie",37.5,18.5,4475,199
"135","Adelie",38.1,17.6,3425,187
"136","Adelie",41.1,17.5,3900,190
"137","Adelie",35.6,17.5,3175,191
"138","Adelie",40.2,20.1,3975,200
"139","Adelie",37,16.5,3400,185
"140","Adelie",39.7,17.9,4250,193
"141","Adelie",40.2,17.1,3400,193
"142","Adelie",40.6,17.2,3475,187
"143","Adelie",32.1,15.5,3050,188
"144","Adelie",40.7,17,3725,190
"145","Adelie",37.3,16.8,3000,192
"146","Adelie",39,18.7,3650,185
"147","Adelie",39.2,18.6,4250,190
"148","Adelie",36.6,18.4,3475,184
"149","Adelie",36,17.8,3450,195
"150","Adelie",37.8,18.1,3750,193
"151","Adelie",36,17.1,3700,187
"152","Adelie",41.5,18.5,4000,201
"153","Gentoo",46.1,13.2,4500,211
"154","Gentoo",50,16.3,5700,230
"155","Gentoo",48.7,14.1,4450,210
"156","Gentoo",50,15.2,5700,218
"157","Gentoo",47.6,14.5,5400,215
"158","Gentoo",46.5,13.5,4550,210
"159","Gentoo",45.4,14.6,4800,211
"160","Gentoo",46.7,15.3,5200,219
"161","Gentoo",43.3,13.4,4400,209
"162","Gentoo",46.8,15.4,5150,215
"163","Gentoo",40.9,13.7,4650,214
"164","Gentoo",49,16.1,5550,216
"165","Gentoo",45.5,13.7,4650,214
"166","Gentoo",48.4,14.6,5850,213
"167","Gentoo",45.8,14.6,4200,210
"168","Gentoo",49.3,15.7,5850,217
"169","Gentoo",42,13.5,4150,210
"170","Gentoo",49.2,15.2,6300,221
"171","Gentoo",46.2,14.5,4800,209
"172","Gentoo",48.7,15.1,5350,222
"173","Gentoo",50.2,14.3,5700,218
"174","Gentoo",45.1,14.5,5000,215
"175","Gentoo",46.5,14.5,4400,213
"176","Gentoo",46.3,15.8,5050,215
"177","Gentoo",42.9,13.1,5000,215
"178","Gentoo",46.1,15.1,5100,215
"179","Gentoo",44.5,14.3,4100,216
"180","Gentoo",47.8,15,5650,215
"181","Gentoo",48.2,14.3,4600,210
"182","Gentoo",50,15.3,5550,220
"183","Gentoo",47.3,15.3,5250,222
"184","Gentoo",42.8,14.2,4700,209
"185","Gentoo",45.1,14.5,5050,207
"186","Gentoo",59.6,17,6050,230
"187","Gentoo",49.1,14.8,5150,220
"188","Gentoo",48.4,16.3,5400,220
"189","Gentoo",42.6,13.7,4950,213
"190","Gentoo",44.4,17.3,5250,219
"191","Gentoo",44,13.6,4350,208
"192","Gentoo",48.7,15.7,5350,208
"193","Gentoo",42.7,13.7,3950,208
"194","Gentoo",49.6,16,5700,225
"195","Gentoo",45.3,13.7,4300,210
"196","Gentoo",49.6,15,4750,216
"197","Gentoo",50.5,15.9,5550,222
"198","Gentoo",43.6,13.9,4900,217
"199","Gentoo",45.5,13.9,4200,210
"200","Gentoo",50.5,15.9,5400,225
"201","Gentoo",44.9,13.3,5100,213
"202","Gentoo",45.2,15.8,5300,215
"203","Gentoo",46.6,14.2,4850,210
"204","Gentoo",48.5,14.1,5300,220
"205","Gentoo",45.1,14.4,4400,210
"206","Gentoo",50.1,15,5000,225
"207","Gentoo",46.5,14.4,4900,217
"208","Gentoo",45,15.4,5050,220
"209","Gentoo",43.8,13.9,4300,208
"210","Gentoo",45.5,15,5000,220
"211","Gentoo",43.2,14.5,4450,208
"212","Gentoo",50.4,15.3,5550,224
"213","Gentoo",45.3,13.8,4200,208
"214","Gentoo",46.2,14.9,5300,221
"215","Gentoo",45.7,13.9,4400,214
"216","Gentoo",54.3,15.7,5650,231
"217","Gentoo",45.8,14.2,4700,219
"218","Gentoo",49.8,16.8,5700,230
"219","Gentoo",46.2,14.4,4650,214
"220","Gentoo",49.5,16.2,5800,229
"221","Gentoo",43.5,14.2,4700,220
"222","Gentoo",50.7,15,5550,223
"223","Gentoo",47.7,15,4750,216
"224","Gentoo",46.4,15.6,5000,221
"225","Gentoo",48.2,15.6,5100,221
"226","Gentoo",46.5,14.8,5200,217
"227","Gentoo",46.4,15,4700,216
"228","Gentoo",48.6,16,5800,230
"229","Gentoo",47.5,14.2,4600,209
"230","Gentoo",51.1,16.3,6000,220
"231","Gentoo",45.2,13.8,4750,215
"232","Gentoo",45.2,16.4,5950,223
"233","Gentoo",49.1,14.5,4625,212
"234","Gentoo",52.5,15.6,5450,221
"235","Gentoo",47.4,14.6,4725,212
"236","Gentoo",50,15.9,5350,224
"237","Gentoo",44.9,13.8,4750,212
"238","Gentoo",50.8,17.3,5600,228
"239","Gentoo",43.4,14.4,4600,218
"240","Gentoo",51.3,14.2,5300,218
"241","Gentoo",47.5,14,4875,212
"242","Gentoo",52.1,17,5550,230
"243","Gentoo",47.5,15,4950,218
"244","Gentoo",52.2,17.1,5400,228
"245","Gentoo",45.5,14.5,4750,212
"246","Gentoo",49.5,16.1,5650,224
"247","Gentoo",44.5,14.7,4850,214
"248","Gentoo",50.8,15.7,5200,226
"249","Gentoo",49.4,15.8,4925,216
"250","Gentoo",46.9,14.6,4875,222
"251","Gentoo",48.4,14.4,4625,203
"252","Gentoo",51.1,16.5,5250,225
"253","Gentoo",48.5,15,4850,219
"254","Gentoo",55.9,17,5600,228
"255","Gentoo",47.2,15.5,4975,215
"256","Gentoo",49.1,15,5500,228
"257","Gentoo",47.3,13.8,4725,216
"258","Gentoo",46.8,16.1,5500,215
"259","Gentoo",41.7,14.7,4700,210
"260","Gentoo",53.4,15.8,5500,219
"261","Gentoo",43.3,14,4575,208
"262","Gentoo",48.1,15.1,5500,209
"263","Gentoo",50.5,15.2,5000,216
"264","Gentoo",49.8,15.9,5950,229
"265","Gentoo",43.5,15.2,4650,213
"266","Gentoo",51.5,16.3,5500,230
"267","Gentoo",46.2,14.1,4375,217
"268","Gentoo",55.1,16,5850,230
"269","Gentoo",44.5,15.7,4875,217
"270","Gentoo",48.8,16.2,6000,222
"271","Gentoo",47.2,13.7,4925,214
"272","Gentoo",NA,NA,NA,NA
"273","Gentoo",46.8,14.3,4850,215
"274","Gentoo",50.4,15.7,5750,222
"275","Gentoo",45.2,14.8,5200,212
"276","Gentoo",49.9,16.1,5400,213
"277","Chinstrap",46.5,17.9,3500,192
"278","Chinstrap",50,19.5,3900,196
"279","Chinstrap",51.3,19.2,3650,193
"280","Chinstrap",45.4,18.7,3525,188
"281","Chinstrap",52.7,19.8,3725,197
"282","Chinstrap",45.2,17.8,3950,198
"283","Chinstrap",46.1,18.2,3250,178
"284","Chinstrap",51.3,18.2,3750,197
"285","Chinstrap",46,18.9,4150,195
"286","Chinstrap",51.3,19.9,3700,198
"287","Chinstrap",46.6,17.8,3800,193
"288","Chinstrap",51.7,20.3,3775,194
"289","Chinstrap",47,17.3,3700,185
"290","Chinstrap",52,18.1,4050,201
"291","Chinstrap",45.9,17.1,3575,190
"292","Chinstrap",50.5,19.6,4050,201
"293","Chinstrap",50.3,20,3300,197
"294","Chinstrap",58,17.8,3700,181
"295","Chinstrap",46.4,18.6,3450,190
"296","Chinstrap",49.2,18.2,4400,195
"297","Chinstrap",42.4,17.3,3600,181
"298","Chinstrap",48.5,17.5,3400,191
"299","Chinstrap",43.2,16.6,2900,187
"300","Chinstrap",50.6,19.4,3800,193
"301","Chinstrap",46.7,17.9,3300,195
"302","Chinstrap",52,19,4150,197
"303","Chinstrap",50.5,18.4,3400,200
"304","Chinstrap",49.5,19,3800,200
"305","Chinstrap",46.4,17.8,3700,191
"306","Chinstrap",52.8,20,4550,205
"307","Chinstrap",40.9,16.6,3200,187
"308","Chinstrap",54.2,20.8,4300,201
"309","Chinstrap",42.5,16.7,3350,187
"310","Chinstrap",51,18.8,4100,203
"311","Chinstrap",49.7,18.6,3600,195
"312","Chinstrap",47.5,16.8,3900,199
"313","Chinstrap",47.6,18.3,3850,195
"314","Chinstrap",52,20.7,4800,210
"315","Chinstrap",46.9,16.6,2700,192
"316","Chinstrap",53.5,19.9,4500,205
"317","Chinstrap",49,19.5,3950,210
"318","Chinstrap",46.2,17.5,3650,187
"319","Chinstrap",50.9,19.1,3550,196
"320","Chinstrap",45.5,17,3500,196
"321","Chinstrap",50.9,17.9,3675,196
"322","Chinstrap",50.8,18.5,4450,201
"323","Chinstrap",50.1,17.9,3400,190
"324","Chinstrap",49,19.6,4300,212
"325","Chinstrap",51.5,18.7,3250,187
"326","Chinstrap",49.8,17.3,3675,198
"327","Chinstrap",48.1,16.4,3325,199
"328","Chinstrap",51.4,19,3950,201
"329","Chinstrap",45.7,17.3,3600,193
"330","Chinstrap",50.7,19.7,4050,203
"331","Chinstrap",42.5,17.3,3350,187
"332","Chinstrap",52.2,18.8,3450,197
"333","Chinstrap",45.2,16.6,3250,191
"334","Chinstrap",49.3,19.9,4050,203
"335","Chinstrap",50.2,18.8,3800,202
"336","Chinstrap",45.6,19.4,3525,194
"337","Chinstrap",51.9,19.5,3950,206
"338","Chinstrap",46.8,16.5,3650,189
"339","Chinstrap",45.7,17,3650,195
"340","Chinstrap",55.8,19.8,4000,207
"341","Chinstrap",43.5,18.1,3400,202
"342","Chinstrap",49.6,18.2,3775,193
"343","Chinstrap",50.8,19,4100,210
"344","Chinstrap",50.2,18.7,3775,198
